
movement,UTC,lat,lon,alt,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,roll,pitch,yaw,gndmtr1,gndmtr2,amtr1,amtr2,amtr3,amtr4,uS1,uS2,uS3,uS4,uS5,uS6,payBay
68,0,0,0,0,-0.01095589,0.02578731,1.040467,-0.07907854,0.02762854,1.519627,1.0625E-06,1.0625E-06,6.5625E-06,1.419749,0.6031048,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.02420052,0.02267452,1.052674,-0.0371578,-0.0295361,1.489139,6.25E-08,1.0625E-06,5.6875E-06,1.233957,1.316668,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.01309212,0.02230831,1.053772,0.0009519512,-0.02572512,1.496761,1.0625E-06,1.0625E-06,7.8125E-06,1.212768,0.7116497,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.01522835,0.02377315,1.039917,-0.1019444,-0.1171885,1.481517,6.25E-08,1.0625E-06,6.4375E-06,1.309589,0.8387495,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.01626595,0.0231628,1.053284,0.04668366,-0.08288976,1.41292,5.625E-07,1.5625E-06,7.9375E-06,1.25979,0.8845392,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.01412972,0.02676388,1.052796,-0.01810293,-0.002859268,1.45103,5.625E-07,5.625E-07,1.64375E-05,1.456244,0.7686803,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.0135804,0.02597042,1.050232,-0.09051146,-0.08670073,1.439597,1.5625E-06,6.25E-08,7.4375E-06,1.416536,0.7406159,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.01120003,0.02706905,1.041016,-0.1057554,-0.006670244,1.447219,1.0625E-06,1.5625E-06,6.8125E-06,1.4895,0.616199,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.01193245,0.02285763,1.05365,-0.1171883,-0.0295361,1.508194,1.0625E-06,1.5625E-06,7.6875E-06,1.242766,0.648687,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.011139,0.02322384,1.039612,-0.1133773,-0.06383488,1.473895,1.5625E-06,1.0625E-06,7.0625E-06,1.279714,0.6137231,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.01223763,0.02505489,1.053955,-0.06764561,-0.07145683,1.355755,1.0625E-06,1.0625E-06,7.6875E-06,1.361793,0.6650518,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.01541146,0.02828975,1.05304,-0.16292,-0.1209995,1.386243,1.0625E-06,6.25E-08,1.73125E-05,1.538872,0.8381734,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.01107796,0.02822872,1.050049,-0.06764561,0.02381756,1.546304,1.5625E-06,1.5625E-06,7.3125E-06,1.539925,0.6042266,0,1,1,0,0,0,0,0,0,0,0,0,0,0
