,movement,UTC,lat,lon,alt,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,roll,pitch,yaw,gndmtr1,gndmtr2,amtr1,amtr2,amtr3,amtr4,uS1,uS2,uS3,uS4,uS5,uS6,payBay
14789,68,0,0,0,0,-0.2058614,-0.1064241,9.901173,0.02717077,-0.7172239,-0.02208837,-1.44E-05,3.26E-05,1.94E-06,-0.6158276,1.191032,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14790,68,0,0,0,0,-0.2021363,-0.102843,9.896481,0.1224494,-0.7133512,-0.05302836,-1.54E-05,3.36E-05,1.56E-06,-0.595389,1.170044,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14791,68,0,0,0,0,-0.2172393,-0.1033036,9.902915,0.007337457,0.321164,0.07284292,-1.59E-05,3.36E-05,-8.19E-06,-0.5976671,1.256622,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14792,68,0,0,0,0,-0.2184564,-0.09478136,9.885214,0.03306331,0.3339364,0.09124536,-1.54E-05,3.36E-05,1.44E-06,-0.5493463,1.265933,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14793,68,0,0,0,0,-0.2165309,-0.1254528,9.899811,-0.06764112,-0.6836978,-0.08602121,-1.49E-05,4.91E-05,1.06E-06,-0.7260273,1.252886,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14794,68,0,0,0,0,-0.1987006,-0.1232814,9.901093,0.05486525,0.3162126,0.09477749,-1.54E-05,3.26E-05,9.38E-07,-0.7133695,1.1496,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14795,68,0,0,0,0,-0.2162728,-0.1110242,9.891624,-0.08248855,-0.6916002,0.01375433,-1.44E-05,3.36E-05,3.13E-07,-0.6430643,1.25245,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14796,68,0,0,0,0,-0.2014968,-0.1100299,9.895251,-0.05715878,-0.7305987,-0.03153035,-1.44E-05,3.26E-05,2.56E-06,-0.6370723,1.16648,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14797,68,0,0,0,0,-0.1997305,-0.1081323,9.87752,-0.02775339,-0.7267116,-0.09102854,6.25E-08,3.26E-05,5.63E-07,-0.6272094,1.158334,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14798,68,0,0,0,0,-0.2186644,-0.124775,9.892112,-0.04577306,-0.6843926,-0.01156899,-1.49E-05,3.31E-05,2.06E-06,-0.7226671,1.266212,0,1,1,0,0,0,0,0,0,0,0,0,0,0
